"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Cabo Verde","CPV","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850956.2","807804.2","779172.6","4187321.6","8232273.8","10513877.7","13235040.2","13930744","14438744.3","13315634.2","25411751.7","22685687.6","19962623","17517319.5","15648977.2","13644845.8","12705763.7","12326177.9","13057886.8","12752167.9","12679127.8","47340184.2","77795023.9","",
"Costa Rica","CRI","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","0","0","0","0","23067696","35074172","37527109","35603150.1","31683852.8","57712227.3","56900000","102600000","92900000","191890000","155830000","188530000","172410000","132315580.9","71366508.1","35400842.1","11293075.1","83007856.1","81510000","81424633.9","66364778.9","24259517","718980","0","0","32564172","30912842.7","29817176","32255971.5","35256124.2","36846715.3","33910860","35693394.4","37493011.5","36544446","245397926.2","241068175.6","240323070.3","240581335.3","241063349.4","226788694.7","216915336","210434972","222926852.2","217707558.3","216460602.6","757487595.7","1520417974.7","",
"Caribbean small states","CSS","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4134135.1","5363268.6","8867773.1","14352336.5","14945680.6","16965854.9","22079964.4","22185532.1","22996972.1","20385678.1","19815956.8","17943738.8","19242593.2","39542067.5","35485589.9","39663918.5","57508686.6","57623907.6","52878485.8","49096434.4","45796005.7","43954479","36733586.9","31639049.4","72343244.8","109255094.2","",
"Dominica","DMA","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","11520000","10450000","10080000","9570000","11671315.8","8846631.8","6564229.2","5686372","4754749.5","3828000","3079521.4","2490504","1703517.6","842644.6","250960.5","36608.8","813074.9","771843.9","744486.9","3592395.6","8801994.7","10155753.5","12398059.6","14885135.4","13085102.1","15911605.2","31908271.5","30239547","27318113.9","26559031.5","23849485.1","20938130.2","26503483.1","24206037.6","24416781.4","22362537.6","20760360.5","35838200.2","47957082.9","",
"Denmark","DNK","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","6550000","11671275","4071375","0","0","0","24979345","44336915","47551835","124263738.9","48500000","23000000","70700000","246200000","221220000","297040000","304360000","283577366.1","217679086.3","122541477.5","71753279.8","89217352.9","122978625","186089902.3","189598012.7","159730784.2","95556757.8","28513699.4","55898792.3","97839373.5","92877939.4","89585998.1","69926911.2","177045895.7","253024154.2","445624947","506927137.2","597503586.8","540901236.8","1093881075.3","1461025210.5","1622535035.5","1513262370.7","1316944438.4","802885729.9","403128425.4","280731424","297396255.4","290433440.2","288769935.2","988349668.4","1600845634.6","",
"Algeria","DZA","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","618837944","669930594","995436275","794990625","470753334.5","1158785097.7","1477675125.4","2031176058.9","2017823552.4","2010716168.3","2082628769.3","1885510115.2","1679854653.5","1505040301.8","1178931448.8","842694286.2","183861292.8","193526016","203283360","198140332.8","1878382595.6","1845240799.3","1839537438.9","1841514311.8","1845203857.4","1735936449.6","1660361592.5","1610758149.3","1706376276.2","1666425596.1","1656880871","1725708072","4306075776.8","",
"East Asia & Pacific (excluding high income)","EAP","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","223680000","253023029","228376886","151268872","125660312","241655936","552983898.4","750765433.9","1081284834.2","1364865723.7","1555027213.4","3098927332.7","2927945415.8","3154148934.5","2696686533.9","2848363800.5","3704345733.6","4322129278.4","3562145950.6","3114192549.3","2084895426.1","1478947381.2","1319418375","1429869042","1493404604.9","1336711277.8","1174823409.2","6932952258.1","14510875915.4","17266964551.1","17601893334.4","14492879371.9","12817628051.4","13442173862.9","12334431033.3","9806205829.5","1566655166.6","1609601653.8","1521520381.2","18724974854.7","18379302751.1","18291677628.9","18272335577.2","18222721899.3","17084246563.4","16357094455.3","15863536883","16919067875.8","16616209675.8","16509911402.6","18078235383.2","75459928928.6","",
"Early-demographic dividend","EAR","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Use of IMF credit (DOD, current US$)","DT.DOD.DIMF.CD","","","","","","","","","","","74130000","139912000","90656000","26239000","170192000","424695000","761305000","666794000","860100000","1088385000","1814500000","2573600000","3209500000","3635300000","3372800000","3433920000","3153890000","2622300797.1","1609022538.9","733859798","466552811","721026864.7","1787564625","3568201077.2","6732528717","14327932352.5","18219892550.9","19501265548.5","26350958222.6","35992556765.9","33644289032.5","38564047995.5","46775614991.6","48983228048.7","45225516115","32316564846.7","27475637741.3","23772259904.6","29170618785.1","43081757341.4","45664733418","43340121957.5","37306333745.1","27691569989.3","24729961577.9","28399931544.8","28573602164","30311807069.6","28652140776.4","26649492433.9","31174897560.8","64010322004.3","",
